Velocity Table: X (m),Velocity Table: Y (m),"Wing Probe: Direction [1,0,0] (m)",Wing Probe: Absolute Pressure (Pa)
0.99974827,-3.66E-05,0.99974827,112506.9829
0.99899334,-1.46E-04,0.99899334,112506.9829
0.99773596,-3.29E-04,0.99773596,112506.9829
0.99597741,-5.83E-04,0.99597741,112506.9829
0.99371944,-9.09E-04,0.99371944,111265.8069
0.99096435,-0.00130567,0.99096435,111265.8069
0.98771489,-0.00177151,0.98771489,111265.8069
0.98397435,-0.00230534,0.98397435,111265.8069
0.97974649,-0.00290565,0.97974649,110250.3406
0.97503556,-0.00357073,0.97503556,110250.3406
0.96984631,-0.00429874,0.96984631,108857.5118
0.96418397,-0.00508767,0.96418397,108857.5118
0.95805423,-0.00593537,0.95805423,107806.0329
0.95146327,-0.00683958,0.95146327,107019.4082
0.94441772,-0.00779793,0.94441772,106418.4141
0.93692469,-0.00880793,0.93692469,105808.9583
0.92899171,-0.00986703,0.92899171,105209.6252
0.92062677,-0.01097258,0.92062677,104619.1852
0.91183829,-0.01212187,0.91183829,104037.7543
0.90263513,-0.01331215,0.90263513,103468.3258
0.89302655,-0.0145406,0.89302655,102918.2723
0.88302222,-0.01580439,0.88302222,102379.7862
0.87263222,-0.01710064,0.87263222,101848.8981
0.86186702,-0.01842646,0.86186702,101333.0691
0.85073744,-0.01977893,0.85073744,100828.7297
0.83925471,-0.02115513,0.83925471,100331.032
0.82743037,-0.02255211,0.82743037,99840.50137
0.81527633,-0.02396693,0.81527633,99351.00282
0.80280484,-0.02539661,0.80280484,98913.51051
0.79002845,-0.0268382,0.79002845,98435.25146
0.77696003,-0.02828869,0.77696003,97981.48863
0.76361273,-0.0297451,0.76361273,97497.63479
0.75,-0.03120439,0.75,97041.5097
0.73613554,-0.03266353,0.73613554,96627.91687
0.72203331,-0.03411944,0.72203331,96122.56586
0.70770751,-0.03556902,0.70770751,95667.60497
0.69317256,-0.03700913,0.69317256,95226.78507
0.67844311,-0.0384366,0.67844311,94754.36029
0.66353398,-0.0398482,0.66353398,94306.6905
0.64846019,-0.04124066,0.64846019,93853.01733
0.63323691,-0.04261068,0.63323691,93411.4847
0.61787947,-0.04395487,0.61787947,92953.69839
0.60240333,-0.04526984,0.60240333,92493.3033
0.58682409,-0.04655211,0.58682409,92037.61608
0.57115742,-0.04779817,0.57115742,91570.82569
0.5554191,-0.04900448,0.5554191,91102.29121
0.53962498,-0.05016745,0.53962498,90632.5132
0.52379096,-0.05128347,0.52379096,90157.97578
0.50793298,-0.05234889,0.50793298,89684.36255
0.49206702,-0.0533601,0.49206702,89205.46818
0.47620904,-0.05431344,0.47620904,88725.99789
0.46037502,-0.05520531,0.46037502,88249.93297
0.4445809,-0.05603212,0.4445809,87771.45953
0.42884258,-0.05679034,0.42884258,87293.20052
0.41317591,-0.05747651,0.41317591,86819.08075
0.39759667,-0.05808726,0.39759667,86342.72077
0.38212053,-0.05861932,0.38212053,85866.10138
0.36676309,-0.05906955,0.36676309,85391.64993
0.35153981,-0.05943498,0.35153981,84922.37645
0.33646602,-0.05971277,0.33646602,84459.53551
0.32155689,-0.0599003,0.32155689,84008.48559
0.30682744,-0.05999514,0.30682744,83569.29335
0.29229249,-0.0599951,0.29229249,83142.18933
0.27796669,-0.05989823,0.27796669,82709.19121
0.26386446,-0.05970283,0.26386446,82319.74267
0.25,-0.0594075,0.25,81977.02068
0.23638727,-0.0590111,0.23638727,81576.40097
0.22303997,-0.0585128,0.22303997,81225.53875
0.20997155,-0.05791208,0.20997155,80898.65341
0.19719516,-0.05720873,0.19719516,80600.58149
0.18472367,-0.05640284,0.18472367,80343.97615
0.17256963,-0.05549483,0.17256963,80110.94142
0.16074529,-0.05448542,0.16074529,79911.18901
0.14926256,-0.05337563,0.14926256,79741.06182
0.13813298,-0.05216679,0.13813298,79600.80911
0.12736778,-0.0508605,0.12736778,79535.02438
0.11697778,-0.04945862,0.11697778,79544.3333
0.10697345,-0.04796328,0.10697345,79593.32581
0.09736487,-0.04637683,0.09736487,79708.30734
0.08816171,-0.04470182,0.08816171,79895.1991
0.07937323,-0.04294098,0.07937323,80189.80342
0.07100829,-0.04109721,0.07100829,80600.10665
0.06307531,-0.03917353,0.06307531,80913.70427
0.05558228,-0.03717304,0.05558228,81658.82092
0.04853673,-0.03509892,0.04853673,82883.95079
0.04194577,-0.03295438,0.04194577,83928.03349
0.03581603,-0.03074264,0.03581603,85294.27009
0.03015369,-0.02846688,0.03015369,87043.40612
0.02496444,-0.02613021,0.02496444,89413.51717
0.02025351,-0.02373567,0.02025351,92430.4493
0.01602565,-0.02128616,0.01602565,96181.74563
0.01228511,-0.01878444,0.01228511,101162.6064
0.00903565,-0.01623309,0.00903565,107650.4911
0.00628056,-0.0136345,0.00628056,115097.0673
0.00402259,-0.01099083,0.00402259,123274.6176
0.00226404,-0.008304,0.00226404,138046.1002
0.00100666,-0.0055757,0.00100666,153026.8196
2.52E-04,-0.00280732,2.52E-04,152933.8829
0,0,0,153114.9174
2.52E-04,0.00280732,2.52E-04,153020.6781
0.00100666,0.0055757,0.00100666,153114.9174
0.00226404,0.008304,0.00226404,138038.4525
0.00402259,0.01099083,0.00402259,123132.1178
0.00628056,0.0136345,0.00628056,114901.511
0.00903565,0.01623309,0.00903565,107433.1857
0.01228511,0.01878444,0.01228511,100935.016
0.01602565,0.02128616,0.01602565,95954.6345
0.02025351,0.02373567,0.02025351,92226.66849
0.02496444,0.02613021,0.02496444,89224.72265
0.03015369,0.02846688,0.03015369,86867.05327
0.03581603,0.03074264,0.03581603,85125.80292
0.04194577,0.03295438,0.04194577,83769.69545
0.04853673,0.03509892,0.04853673,82737.00102
0.05558228,0.03717304,0.05558228,81521.18041
0.06307531,0.03917353,0.06307531,80784.18653
0.07100829,0.04109721,0.07100829,80472.46119
0.07937323,0.04294098,0.07937323,80065.76427
0.08816171,0.04470182,0.08816171,79772.44456
0.09736487,0.04637683,0.09736487,79595.04041
0.10697345,0.04796328,0.10697345,79485.10266
0.11697778,0.04945862,0.11697778,79435.62039
0.12736778,0.0508605,0.12736778,79447.64606
0.13813298,0.05216679,0.13813298,79518.74237
0.14926256,0.05337563,0.14926256,79649.54204
0.16074529,0.05448542,0.16074529,79824.61787
0.17256963,0.05549483,0.17256963,80021.61596
0.18472367,0.05640284,0.18472367,80252.31078
0.19719516,0.05720873,0.19719516,80515.95814
0.20997155,0.05791208,0.20997155,80821.49698
0.22303997,0.0585128,0.22303997,81144.44373
0.23638727,0.0590111,0.23638727,81491.76459
0.25,0.0594075,0.25,81900.01221
0.26386446,0.05970283,0.26386446,82247.61163
0.27796669,0.05989823,0.27796669,82636.00289
0.29229249,0.0599951,0.29229249,83071.81111
0.30682744,0.05999514,0.30682744,83500.84586
0.32155689,0.0599003,0.32155689,83940.80881
0.33646602,0.05971277,0.33646602,84392.45375
0.35153981,0.05943498,0.35153981,84855.92713
0.36676309,0.05906955,0.36676309,85326.22941
0.38212053,0.05861932,0.38212053,85800.56849
0.39759667,0.05808726,0.39759667,86278.78532
0.41317591,0.05747651,0.41317591,86755.74496
0.42884258,0.05679034,0.42884258,87230.22329
0.4445809,0.05603212,0.4445809,87708.72852
0.46037502,0.05520531,0.46037502,88185.72871
0.47620904,0.05431344,0.47620904,88662.7752
